DataHora;Instancia;Algoritmo;Alpha;Iteracoes;Bloco;Semente;Tempo(s);ValorObtido
2026-07-13 10:15:47;b05;Guloso;-;-;-;100408;0.092198;64.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.2;0.2;30;-;100408;0.010382;61.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.3;0.3;30;-;100408;0.011432;61.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.4;0.4;30;-;100408;0.010442;61.000000
2026-07-13 10:15:47;b05;Reativo_0.2_0.3_0.4;-;300;30;100408;0.103696;61.000000
2026-07-13 10:15:47;b05;Guloso;-;-;-;100409;0.085040;64.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.2;0.2;30;-;100409;0.010266;62.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.3;0.3;30;-;100409;0.010901;62.000000
2026-07-13 10:15:47;b05;Randomizado_alpha_0.4;0.4;30;-;100409;0.010788;62.000000
2026-07-13 10:15:47;b05;Reativo_0.2_0.3_0.4;-;300;30;100409;0.109245;61.000000
2026-07-13 10:15:48;b06;Guloso;-;-;-;100500;0.221170;127.000000
2026-07-13 10:15:48;b06;Randomizado_alpha_0.2;0.2;30;-;100500;0.015790;126.000000
2026-07-13 10:15:48;b06;Randomizado_alpha_0.3;0.3;30;-;100500;0.016462;124.000000
2026-07-13 10:15:48;b06;Randomizado_alpha_0.4;0.4;30;-;100500;0.020003;124.000000
2026-07-13 10:15:48;b06;Reativo_0.2_0.3_0.4;-;300;30;100500;0.177606;125.000000
2026-07-13 10:15:48;b06;Guloso;-;-;-;100501;0.215079;127.000000
2026-07-13 10:15:48;b06;Randomizado_alpha_0.2;0.2;30;-;100501;0.019713;126.000000
2026-07-13 10:15:48;b06;Randomizado_alpha_0.3;0.3;30;-;100501;0.022366;126.000000
2026-07-13 10:15:48;b06;Randomizado_alpha_0.4;0.4;30;-;100501;0.022971;126.000000
2026-07-13 10:15:48;b06;Reativo_0.2_0.3_0.4;-;300;30;100501;0.217280;125.000000
2026-07-13 10:15:49;b06;Guloso;-;-;-;100502;0.234520;127.000000
2026-07-13 10:15:49;b06;Randomizado_alpha_0.2;0.2;30;-;100502;0.021083;126.000000
2026-07-13 10:15:49;b06;Randomizado_alpha_0.3;0.3;30;-;100502;0.024087;124.000000
2026-07-13 10:15:49;b06;Randomizado_alpha_0.4;0.4;30;-;100502;0.021816;126.000000
2026-07-13 10:15:49;b06;Reativo_0.2_0.3_0.4;-;300;30;100502;0.231903;125.000000
2026-07-13 10:15:49;b06;Guloso;-;-;-;100503;0.217685;127.000000
2026-07-13 10:15:49;b06;Randomizado_alpha_0.2;0.2;30;-;100503;0.015819;126.000000
2026-07-13 10:15:49;b06;Randomizado_alpha_0.3;0.3;30;-;100503;0.018877;126.000000
2026-07-13 10:15:49;b06;Randomizado_alpha_0.4;0.4;30;-;100503;0.017506;123.000000
2026-07-13 10:15:49;b06;Reativo_0.2_0.3_0.4;-;300;30;100503;0.179889;125.000000
2026-07-13 10:15:50;b06;Guloso;-;-;-;100504;0.194420;127.000000
2026-07-13 10:15:50;b06;Randomizado_alpha_0.2;0.2;30;-;100504;0.015551;123.000000
2026-07-13 10:15:50;b06;Randomizado_alpha_0.3;0.3;30;-;100504;0.015884;127.000000
2026-07-13 10:15:50;b06;Randomizado_alpha_0.4;0.4;30;-;100504;0.016437;124.000000
2026-07-13 10:15:50;b06;Reativo_0.2_0.3_0.4;-;300;30;100504;0.162875;125.000000
2026-07-13 10:15:50;b06;Guloso;-;-;-;100505;0.201383;127.000000
